"TIPOLOGIA STRUTTURA,""TIPO_ESERCIZIO"",""CLASSIFICAZIONE"",""DENOMINAZIONE"",""CAP"",""INDIRIZZO"",""TELEFONO"",""CAMERE"",""BAGNI"",""LETTI"",""SCIA/AUT."",""DATA"",""N. PROT"",""Durata"""
"EXTRA_ALBERGHIERA,""AFFITTACAMERE"","""",""AFFITTACAMERE ZORBA di GROSSI Michele"",""00053"",""VIA TARQUINIA, 15"",""3293246519"",""3"",""4"",""4"",""VOLT AUT"",""13/11/2006"",""42/2003 R.B."",""Permanente"""
"EXTRA_ALBERGHIERA,""AFFITTACAMERE"",""3^categoria"",""AFFITTACAMERE 5 ROOMS DI PALMIERI DOMENICO GIUSEPPE"",""00053"",""VIALE DELLA REPUBBLICA SNC"","""",""5"",""5"",""14"",""SCIA"",""24/06/2014"",""38/2014 R.B."",""Permanente"""
"EXTRA_ALBERGHIERA,""AFFITTACAMERE"",""3^categoria"",""AFFITTACAMERE PORTA LIVORNO DI RONCA VALERIA"",""00053"",""P.ZA CALAMATTA, 10"","""",""3"",""3"",""6"",""SCIA"",""18/06/2014"",""36/2014 R.B."",""Permanente"""
"EXTRA_ALBERGHIERA,""CASA E APPARTAMENTI PER VACANZE N.I."","""",""DI STEFANO M.GRAZIA"",""00053"",""VIA DEGLI AGRICOLTORI,11 I 7"",""3402846750"",""2"",""1"",""3"",""AUTORIZ."",""18/11/2011"",""33/2011 R.B."",""Permanente"""
"EXTRA_ALBERGHIERA,""CASA E APPARTAMENTI PER VACANZE I."","""",""DI STEFANO M.GRAZIA"",""00053"",""VIA DEGLI AGRICOLTORI,11 I 8"",""3402846750"",""2"",""1"",""3"",""AUTORIZ."",""19/11/2011"",""33/2011 R.B."",""Permanente"""
"EXTRA_ALBERGHIERA,""CASA E APPARTAMENTI PER VACANZE I."","""",""TROTTA PIETRO"",""00053"",""VIA C.BATTISTI, 12"",""non presente"",""1"",""1"",""2"",""AUTORIZ."",""17/08/2001"",""10/2001 R.B."","""""
"EXTRA_ALBERGHIERA,""CASA E APPARTAMENTI PER VACANZE N.I."","""",""TROTTA PIETRO"",""00053"",""V.DEGLI ORTI, 6"",""non presente"",""4"",""4"",""8"",""AUTORIZ."",""17/08/2001"",""10/2001 R.B."",""Permanente"""
"EXTRA_ALBERGHIERA,""CASA E APPARTAMENTI PER VACANZE I."","""",""TROTTA PIETRO"",""00053"",""VIA LEOPOLI, 38"",""0766/500265"","""","""","""",""AUTORIZ."",""17/08/2001"",""10/2001 R.B."",""Permanente"""
"EXTRA_ALBERGHIERA,""CASA E APPARTAMENTI PER VACANZE N.I."","""",""TROTTA PIETRO"",""00053"",""VIA MAGENTA, 20"",""0766/543046"",""2"",""1"",""4"",""AUTORIZ."",""17/08/2001"",""10/2001 R.B."",""Permanente"""
"EXTRA_ALBERGHIERA,""CASA E APPARTAMENTI PER VACANZE I."","""",""TROTTA PIETRO"",""00053"",""VIA LEOPOLI, 87"",""0766/20404"",""2"",""1"",""4"",""AUTORIZ."",""17/08/2001"",""10/2001 R.B."",""Permanente"""
"EXTRA_ALBERGHIERA,""CASA E APPARTAMENTI PER VACANZE N.I."","""",""TROTTA PIETRO"",""00053"",""VIA A. CIALDI, 3"",""0766/501236"",""2"",""2"",""4"",""AUTORIZ."",""17/08/2001"",""10/2001 R.B."",""Permanente"""
"EXTRA_ALBERGHIERA,""CASA E APPARTAMENTI PER VACANZE I."","""",""TROTTA PIETRO"",""00053"",""VIA CAVALIERI DI MALTA, 25"",""0766/545418"",""2"",""1"",""4"",""AUTORIZ."",""17/08/2001"",""10/2001 R.B."",""Permanente"""
"EXTRA_ALBERGHIERA,""CASA E APPARTAMENTI PER VACANZE N.I."","""",""TROTTA PIETRO"",""00053"",""VIA FLAVIONI, 357C"",""0766/40399"",""2"",""1"",""4"",""AUTORIZ."",""17/08/2001"",""10/2001 R.B."",""Permanente"""
"EXTRA_ALBERGHIERA,""CASA E APPARTAMENTI PER VACANZE I."","""",""TROTTA PIETRO"",""00053"",""VIA F.LLI CERVI, 27 INT 1"",""0766/540399"",""2"",""1"",""4"",""AUTORIZ."",""17/08/2001"",""10/2001 R.B."",""Permanente"""
"EXTRA_ALBERGHIERA,""CASA E APPARTAMENTI PER VACANZE N.I."","""",""TROTTA PIETRO"",""00053"",""VIA F.LLI CERVI, 27 INT 5"",""0766/500195"","""","""","""",""AUTORIZ."",""17/08/2001"",""10/2001 R.B."",""Permanente"""
"EXTRA_ALBERGHIERA,""CASA E APPARTAMENTI PER VACANZE I."","""",""TROTTA PIETRO"",""00053"",""P.LE FUCSIA, 5 INT1"",""0766/500272"",""2"",""1"",""4"",""AUTORIZ."",""17/08/2001"",""10/2001 R.B."",""Permanente"""
"EXTRA_ALBERGHIERA,""CASA E APPARTAMENTI PER VACANZE N.I."","""",""TROTTA PIETRO"",""00053"",""P.LE FUCSIA, 7/ INT2"",""0766/20741"",""2"",""2"",""4"",""AUTORIZ."",""17/08/2001"",""10/2001 R.B."",""Permanente"""
"EXTRA_ALBERGHIERA,""CASA E APPARTAMENTI PER VACANZE I."","""",""TROTTA PIETRO"",""00053"",""VIA DELLE GINESTRE,4"",""0766/34722"",""2"",""2"",""4"",""AUTORIZ."",""17/08/2001"",""10/2001 R.B."",""Permanente"""
"EXTRA_ALBERGHIERA,""CASA E APPARTAMENTI PER VACANZE N.I."","""",""TROTTA PIETRO"",""00053"",""VIA TERME DI TRAIANO. 71"",""0766/581550"",""2"",""1"",""4"",""AUTORIZ."",""17/08/2001"",""10/2001 R.B."",""Permanente"""
"EXTRA_ALBERGHIERA,""CASA E APPARTAMENTI PER VACANZE I."","""",""TROTTA PIETRO"",""00053"",""VIA BRAMANTE, 33"",""0766/581554"",""2"",""1"",""4"",""AUTORIZ."",""17/08/2001"",""10/2001 R.B."",""Permanente"""
"EXTRA_ALBERGHIERA,""CASA E APPARTAMENTI PER VACANZE N.I."","""",""TROTTA PIETRO"",""00053"",""VIA TERME DI TRAIANO, 71/A"",""0766/581550"",""1"",""1"",""2"",""AUTORIZ."",""17/08/2001"",""10/2001 R.B."",""Permanente"""
"EXTRA_ALBERGHIERA,""CASA E APPARTAMENTI PER VACANZE I."","""",""TROTTA PIETRO"",""00053"",""VIA TERME DI TRAIANO, 38/INT 4"",""0766/25963"",""2"",""1"",""4"",""AUTORIZ."",""17/08/2001"",""10/2001 R.B."",""Permanente"""
"EXTRA_ALBERGHIERA,""CASA E APPARTAMENTI PER VACANZE N.I."","""",""TROTTA PIETRO"",""00053"",""VIA TERME DI TRAIANO, 38/INT 2"",""0766/580440"",""2"",""1"",""4"",""AUTORIZ."",""17/08/2001"",""10/2001 R.B."",""Permanente"""
"EXTRA_ALBERGHIERA,""CASA E APPARTAMENTI PER VACANZE I."","""",""TROTTA PIETRO"",""00053"",""VIA XXV APRILE 4, INT 8"",""0766/2447"",""2"",""1"",""4"",""AUTORIZ."",""17/08/2001"",""10/2001 R.B."",""Permanente"""
"EXTRA_ALBERGHIERA,""CASA E APPARTAMENTI PER VACANZE N.I."","""",""TROTTA PIETRO"",""00053"",""VIA APOLLODORO, 9 INT 2"",""0766/32331"",""2"",""1"",""4"",""AUTORIZ."",""17/08/2001"",""10/2001 R.B."",""Permanente"""
"EXTRA_ALBERGHIERA,""CASA E APPARTAMENTI PER VACANZE I."","""",""BORTUN IRINA"",""00053"",""VIA RODI, 20"",""0766/543171"",""3"",""1"",""5"",""AUTORIZ."",""05/05/2011"",""14/2011 R.B."",""Permanente"""
"EXTRA_ALBERGHIERA,""CASA E APPARTAMENTI PER VACANZE I."",""4 CATEGORIA"",""CALAMATTA'S HOUSE DI FARINACCI ANGELA"",""00053"",""P.ZA CALAMATTA, 10"","""",""2"",""1"",""3"",""SCIA"",""05/11/2014"",""50/2014 R.B."",""Permanente"""
"EXTRA_ALBERGHIERA,""CASA E APPARTAMENTI PER VACANZE I."",""4 CATEGORIA"",""COSIMI MAURO"",""00053"",""VIA DEGLI AGRICOLTORI 26"","""",""1"",""1"",""2"",""SCIA"",""11/11/2014"",""51/2014 R.B."",""Permanente"""
"ARIA_APERTA,""CAMPEGGIO"","""",""CAMPING TRAIANO di VANNUCCHI Giacomo"",""00053"",""S.S S.AGOSTINO LOC LA FRASCA"",""0766/560556"","""","""","""","""","""","""",""Stagionale"""
